giờservice,response,language,persona,short,response_vi
blinds.open,Opening the blinds for you.,en,assistant,0,Mở rèm cho bạn.
blinds.open,I'll go ahead and open the blinds.,en,assistant,0,Tôi sẽ tiếp tục và mở rèm.
blinds.open,"Sure, opening the blinds now.",en,assistant,0,"Chắc chắn, mở rèm bây giờ."
blinds.close,Closing the blinds as you requested.,en,assistant,0,Đóng rèm như bạn yêu cầu.
blinds.close,I'll close the blinds for you.,en,assistant,0,Tôi sẽ đóng rèm cho bạn.
blinds.close,"Sure, closing the blinds.",en,assistant,0,"Chắc chắn, đóng rèm."
blinds.stop,Stopping the blinds now.,en,assistant,0,Dừng rèm bây giờ.
blinds.stop,I'll stop the blinds for you.,en,assistant,0,Tôi sẽ dừng rèm cho bạn.
blinds.stop,"Sure, halting the blinds movement.",en,assistant,0,"Chắc chắn, tạm dừng phong trào rèm."
blinds.open,Lifting <device_name> blinds as requested,en,assistant,0,Nâng <device_name> theo yêu cầu
blinds.open,Opening <device_name> now,en,assistant,0,Mở <device_name> ngay bây giờ
blinds.open,Raising <device_name> for you,en,assistant,0,Nâng <device_name> cho bạn
blinds.stop,Freezing <device_name> position,en,assistant,0,Dừng vị trí <device_name> 
blinds.stop,Halting <device_name> now,en,assistant,0,Tạm dừng <device_name> bây giờ
blinds.stop,Stopping <device_name> operation,en,assistant,0,Dừng hoạt động <device_name>
blinds.open,Raising <device_name>,en,assistant,0,Nâng <device_name>
blinds.close,Closing <device_name> for you,en,assistant,0,Đóng <device_name> cho bạn
blinds.close,Lowering <device_name> now,en,assistant,0,Hạ <device_name> ngay bây giờ
blinds.close,Shutting <device_name> as requested,en,assistant,0,Đóng <device_name> theo yêu cầu
blinds.close,Lowering <device_name>,en,assistant,0,Hạ <device_name>
fan.turn_on,Turning on the fan for you.,en,assistant,0,Bật quạt cho bạn.
fan.turn_on,I'll get the fan going for you.,en,assistant,0,Tôi sẽ bật quạt cho bạn.
fan.turn_on,"Sure, turning on the fan now.",en,assistant,0,"Chắc chắn, bật quạt bây giờ."
fan.turn_off,Switching off the fan as requested.,en,assistant,0,Tắt quạt theo yêu cầu.
fan.turn_off,I'll turn off the fan for you.,en,assistant,0,Tôi sẽ tắt quạt cho bạn.
fan.turn_off,"Okay, turning off the fan.",en,assistant,0,"Được rồi, tắt quạt."
fan.increase_speed,Increasing the fan speed for you.,en,assistant,0,Tăng tốc độ quạt cho bạn.
fan.increase_speed,"Sure, speeding up the fan now.",en,assistant,0,"Chắc chắn, tăng tốc cho quạt bây giờ."
fan.increase_speed,I'll go ahead and make the fan faster.,en,assistant,0,Tôi sẽ tiếp tục và làm cho quạt nhanh hơn.
fan.decrease_speed,Reducing the fan speed as you requested.,en,assistant,0,Giảm tốc độ quạt như bạn yêu cầu.
fan.decrease_speed,I'll slow down the fan for you.,en,assistant,0,Tôi sẽ làm chậm quạt cho bạn.
fan.decrease_speed,"Sure, decreasing the fan speed.",en,assistant,0,"Chắc chắn, giảm tốc độ quạt."
fan.turn_on,Activating <device_name> now,en,assistant,0,Kích hoạt <device_name> ngay bây giờ
fan.turn_on,Starting <device_name> for you,en,assistant,0,Bắt đầu <device_name> cho bạn
fan.turn_on,"Certainly, starting <device_name>",en,assistant,0,"Chắc chắn, bắt đầu <device_name>"
fan.turn_on,Turning on <device_name>,en,assistant,0,Bật <device_name>
fan.turn_on,Starting <device_name>,en,assistant,0,Bắt đầu <device_name>
fan.turn_off,Deactivating <device_name> as requested,en,assistant,0,Vô hiệu hóa <device_name> theo yêu cầu
fan.turn_off,Stopping <device_name> for you,en,assistant,0,Dừng <device_name> cho bạn
fan.turn_off,"Certainly, stopping <device_name>",en,assistant,0,"Chắc chắn, dừng <device_name>"
fan.turn_off,Turning off <device_name>,en,assistant,0,Tắt <device_name>
fan.decrease_speed,Reducing speed of <device_name>,en,assistant,0,Giảm tốc độ <device_name>
fan.decrease_speed,Lowering speed of <device_name> as requested,en,assistant,0,Giảm tốc độ <device_name> theo yêu cầu
fan.decrease_speed,Slowing down <device_name> for you,en,assistant,0,Làm chậm <device_name> cho bạn
fan.increase_speed,Increasing speed of <device_name>,en,assistant,0,Tăng tốc độ <device_name>
fan.increase_speed,Ramping up <device_name> speed now,en,assistant,0,Tăng tốc <device_name> ngay bây giờ
fan.increase_speed,Speeding up <device_name> for you,en,assistant,0,Tăng tốc <device_name> cho bạn
fan.increase_speed,Increasing speed of <device_name>,en,assistant,0,Tăng tốc độ <device_name>
fan.decrease_speed,Reducing speed of <device_name>,en,assistant,0,Giảm tốc độ <device_name>
garage_door.open,Opening the garage door for you.,en,assistant,0,Mở cửa nhà để xe cho bạn.
garage_door.open,"Sure, I'll open the garage door.",en,assistant,0,"Chắc chắn, tôi sẽ mở cửa nhà để xe."
garage_door.open,I'll go ahead and open the garage door.,en,assistant,0,Tôi sẽ đi trước và mở cửa nhà để xe.
garage_door.close,Closing the garage door as requested.,en,assistant,0,Đóng cửa nhà để xe theo yêu cầu.
garage_door.close,I'll shut the garage door for you.,en,assistant,0,Tôi sẽ đóng cửa nhà để xe cho bạn.
garage_door.close,"Sure, closing the garage door.",en,assistant,0,"Chắc chắn, đóng cửa nhà để xe."
garage_door.stop,Stopping the garage door now.,en,assistant,0,Dừng cửa nhà để xe bây giờ.
garage_door.stop,I'll stop the garage door for you.,en,assistant,0,Tôi sẽ dừng cửa nhà để xe cho bạn.
garage_door.stop,"Sure, I'll halt the garage door movement.",en,assistant,0,"Chắc chắn, tôi sẽ tạm dừng chuyển động cửa nhà để xe."
garage_door.open,Lifting <device_name> for you,en,assistant,0,Nâng <device_name> cho bạn
garage_door.open,Opening <device_name> now,en,assistant,0,Mở <device_name> ngay bây giờ
garage_door.open,Raising <device_name> as requested,en,assistant,0,Tăng <device_name> theo yêu cầu
garage_door.stop,Freezing <device_name> position now,en,assistant,0,Đóng băng <device_name> vị trí ngay bây giờ
garage_door.stop,"Certainly, halting <device_name>",en,assistant,0,"Chắc chắn, tạm dừng <device_name>"
garage_door.stop,Halting <device_name> operation,en,assistant,0,Tạm dừng <device_name> hoạt động
garage_door.open,Opening <device_name>,en,assistant,0,Mở đầu <device_name>
garage_door.stop,Stopping <device_name>,en,assistant,0,Dừng <device_name>
garage_door.close,Closing <device_name> now,en,assistant,0,Đóng <device_name> bây giờ
garage_door.close,Lowering <device_name> for you,en,assistant,0,Hạ thấp <device_name> cho bạn
garage_door.close,Shutting <device_name> as requested,en,assistant,0,Tắt <device_name> theo yêu cầu
garage_door.close,Closing <device_name>,en,assistant,0,Đóng <device_name>
light.turn_on,Turning on the light for you.,en,assistant,0,Bật đèn cho bạn.
light.turn_on,"Sure, I'll turn on the light now.",en,assistant,0,"Chắc chắn, tôi sẽ bật đèn ngay bây giờ."
light.turn_on,I'll go ahead and turn the light on.,en,assistant,0,Tôi sẽ tiếp tục và bật đèn.
light.turn_off,Turning off the light as requested.,en,assistant,0,Tắt đèn theo yêu cầu.
light.turn_off,I'll switch off the light for you.,en,assistant,0,Tôi sẽ tắt đèn cho bạn.
light.turn_off,"Sure, turning off the light.",en,assistant,0,"Chắc chắn, tắt đèn."
light.turn_on,Activation of <device_name> in progress,en,assistant,0,Kích hoạt <device_name> đang diễn ra
light.turn_on,"Certainly, turning on <device_name> now",en,assistant,0,"Chắc chắn, bật <device_name>"
light.turn_on,Switching on <device_name> for you,en,assistant,0,Bật <device_name> cho bạn
light.turn_on,Turning on <device_name>,en,assistant,0,Bật <device_name>
light.turn_on,Activating <device_name>,en,assistant,0,Kích hoạt <device_name>
light.turn_on,Setting the brightness of <device_name> to <brightness>%.,en,assistant,0,Đặt độ sáng của <device_name> thành <brightness>%.
light.turn_on,Dimming <device_name> to <brightness>% brightness.,en,assistant,0,Làm mờ <device_name> đến <brightness>% độ sáng.
light.turn_on,Brightening <device_name> to <brightness>%.,en,assistant,0,Làm sáng <device_name> đến <brightness>%.
light.turn_on,Adjusting <device_name> brightness to <brightness>.,en,assistant,0,Điều chỉnh <device_name> Độ sáng thành <brightness>.
light.turn_on,Increasing <device_name>'s brightness to <brightness>.,en,assistant,0,Tăng độ sáng <humidity> của <brightness>.
light.turn_on,Lowering the brightness of <device_name> to <brightness>.,en,assistant,0,Hạ độ sáng của <device_name> xuống <brightness>.
light.turn_on,Setting <device_name>'s brightness level to <brightness>%.,en,assistant,0,Cài đặt mức độ sáng của <humidity> của <brightness>%.
light.turn_on,Setting <device_name> to <brightness>% brightness.,en,assistant,0,Cài đặt <device_name> đến <brightness>% độ sáng.
light.turn_on,Turning <device_name> <color>.,en,assistant,0,Biến <device_name> <color>.
light.turn_on,Changing the color of <device_name> to <color>.,en,assistant,0,Thay đổi màu của <device_name> thành <color>.
light.turn_on,Changing <device_name> to a <color> hue.,en,assistant,0,Thay đổi <device_name> thành <color> Huế.
light.turn_on,Setting <device_name> to be <color>.,en,assistant,0,Cài đặt <device_name> thành <color>.
light.turn_on,Making <device_name> shine in <color>.,en,assistant,0,Làm <device_name> tỏa sáng trong <color>.
light.turn_on,Turning <device_name> to a <color> shade.,en,assistant,0,Biến <device_name> thành tông <color>.
light.turn_on,Setting <device_name> to a <color>.,en,assistant,0,Đặt <device_name> thành <color>.
light.turn_on,Setting <device_name> to a <color> color.,en,assistant,0,Đặt <device_name> thành màu <color>.
light.turn_on,Making <device_name> glow <color>.,en,assistant,0,Làm <device_name> phát sáng <color>.
light.turn_on,Turning <device_name> to <color>.,en,assistant,0,Biến <device_name> thành <color>.
light.turn_on,Changing <device_name> to <color>.,en,assistant,0,Thay đổi <device_name> thành <color>.
light.turn_on,Adjusting <device_name> to <color> color.,en,assistant,0,Điều chỉnh <device_name> thành <color> màu.
light.turn_on,Switching <device_name> color to <color>.,en,assistant,0,Chuyển đổi màu <device_name> sang <color>.
light.turn_on,Setting <device_name> in <color>.,en,assistant,0,Cài đặt <device_name> trong <color>.
light.turn_on,Making <device_name> display a <color> light.,en,assistant,0,Làm cho <device_name> hiển thị ánh sáng <color>.
light.turn_on,Setting <device_name> color to <color>.,en,assistant,0,Cài đặt <device_name> màu thành <color>.
light.turn_off,Deactivating <device_name> as requested,en,assistant,0,Vô hiệu hóa <device_name> theo yêu cầu
light.turn_off,Switching off <device_name> now,en,assistant,0,Tắt <device_name> ngay bây giờ
light.turn_off,"Sure, turning off <device_name>",en,assistant,0,"Chắc chắn, tắt <device_name>"
light.turn_off,Turning off <device_name>,en,assistant,0,Tắt <device_name>
light.turn_off,Deactivating <device_name>,en,assistant,0,Vô hiệu hóa <device_name>
lock.lock,Locking the door for you.,en,assistant,0,Khóa cửa cho bạn.
lock.lock,I'll go ahead and lock the door.,en,assistant,0,Tôi sẽ đi trước và khóa cửa.
lock.lock,"Sure, securing the lock.",en,assistant,0,"Chắc chắn, đảm bảo khóa."
lock.unlock,Unlocking the door as you requested.,en,assistant,0,Mở khóa cửa như bạn yêu cầu.
lock.unlock,I'll unlock the door for you.,en,assistant,0,Tôi sẽ mở khóa cửa cho bạn.
lock.unlock,"Sure, unlocking the door.",en,assistant,0,"Chắc chắn, mở khóa cửa."
lock.lock,Engaging lock on <device_name>,en,assistant,0,Khóa hấp dẫn trên <device_name>
lock.lock,Locking <device_name> now,en,assistant,0,Khóa <device_name> bây giờ
lock.lock,Securing <device_name> for you,en,assistant,0,Đảm bảo <device_name> cho bạn
lock.lock,Locking <device_name>,en,assistant,0,Khóa <device_name>
lock.lock,Securing <device_name>,en,assistant,0,Đảm bảo <device_name>
lock.unlock,Disengaging lock on <device_name>,en,assistant,0,Thảnh thơi trên <device_name>
lock.unlock,Unlocking <device_name> now,en,assistant,0,Mở khóa <device_name> ngay bây giờ
lock.unlock,Unsecuring <device_name> for you,en,assistant,0,Không an toàn <device_name> cho bạn
lock.unlock,Unlocking <device_name>,en,assistant,0,Mở khóa <device_name>
media_player.turn_on,Turning on the media player for you.,en,assistant,0,Bật trình phát phương tiện cho bạn.
media_player.turn_on,I'll get the media player going.,en,assistant,0,Tôi sẽ đưa trình phát phương tiện đi.
media_player.turn_on,"Sure, activating the media player.",en,assistant,0,"Chắc chắn, kích hoạt trình phát phương tiện."
media_player.turn_off,Turning off the media player as requested.,en,assistant,0,Tắt trình phát phương tiện theo yêu cầu.
media_player.turn_off,I'll switch off the media player.,en,assistant,0,Tôi sẽ tắt trình phát phương tiện.
media_player.turn_off,"Sure, deactivating the media player.",en,assistant,0,"Chắc chắn, hủy kích hoạt trình phát phương tiện."
media_player.volume_up,Increasing the volume for you.,en,assistant,0,Tăng khối lượng cho bạn.
media_player.volume_up,"Sure, turning up the volume now.",en,assistant,0,"Chắc chắn, bật lên âm lượng ngay bây giờ."
media_player.volume_up,I'll go ahead and raise the volume.,en,assistant,0,Tôi sẽ tiếp tục và nâng âm lượng.
